Date,Interpolated
2020-01-30,0.05895335
2020-01-31,0.0695100150194814
2020-02-01,0.08195704210207784
2020-02-02,0.09663293481146873
2020-02-03,0.11393681190503607
2020-02-03,0.13433926158209644
2020-02-04,0.1583951393818598
2020-02-05,0.18675865777680026
2020-02-06,0.22020117783100657
2020-02-07,0.259632186777185
2020-02-08,0.30612403200874816
2020-02-09,0.3609410841411437
2020-02-10,0.4255741222474855
2020-02-11,0.5017808763933744
2020-02-12,0.5916338300468419
2020-02-13,0.6975765823755442
2020-02-14,0.8224903032340415
2020-02-15,0.969772088120116
2020-02-16,1.1434273440051006
2020-02-17,1.3481787185203262
2020-02-18,1.5895945348872125
2020-02-19,1.874240225447676
2020-02-20,2.2098568821107567
2020-02-21,2.605571779490445
2020-02-22,3.0721465960241052
2020-02-23,3.622270083577682
2020-02-24,4.270903144844233
2020-02-25,5.035685703100384
2020-02-26,5.937416429361444
2020-02-27,7.0006183733719896
2020-02-28,8.254205881069428
2020-02-29,9.732270935697933
2020-03-01,11.47501030754021
2020-03-02,13.529818726600332
2020-03-03,15.952577807653848
2020-03-04,18.809175780671744
2020-03-05,22.17729935650067
2020-03-06,26.148546458545557
2020-03-07,30.83091727732366
2020-03-08,36.35175139345187
2020-03-09,42.86119084569908
2020-03-10,50.536263324092765
2020-03-11,59.585696532701796
2020-03-12,70.25559465126854
2020-03-13,82.8361312701021
2020-03-14,97.66944081617974
2020-03-15,115.1589230820132
2020-03-16,135.78021389892248
2020-03-17,160.09412030804862
2020-03-18,188.76187200800518
2020-03-19,222.56310385044895
2020-03-20,262.41705842716493
2020-03-21,309.4075853643663
2020-03-22,364.8126171934008
2020-03-23,430.13892340994374
2020-03-24,507.1630878769188
2020-03-25,597.9798239735519
2020-03-26,705.058941446897
2020-03-27,831.3125142098536
2020-03-28,980.1740757498899
2020-03-29,1155.6919959100057
2020-03-30,1362.6395784734698
2020-03-31,1606.6448737150765
2020-04-01,1894.3437362407353
2020-04-02,2233.5602906052673
2020-04-03,2633.519712567468
2020-04-04,3105.0991126825716
2020-04-05,3661.1233451456774
2020-04-06,4316.713786565988
2020-04-07,5089.699569897288
2020-04-08,6001.1024572515125
2020-04-09,7075.708537971115
2020-04-10,8342.742299595273
2020-04-11,9836.66140344069
2020-04-12,11598.093779144278
2020-04-13,13674.942522955396
2020-04-14,16123.688648078089
2020-04-15,19010.92711605617
