day,CoronaCases
1,67100
2,69197
3,71329
4,73332
5,75184
6,75700
7,76677
8,77673
9,78651
10,79205
11,80087
12,80828
13,81820
14,83112
15,84615
16,86604
17,88585
18,90443
19,93016
20,95314
21,98425
22,102050
23,106099
24,109991
25,114381
26,118948
27,126214
28,134576
29,145483
30,156653
31,169593
32,182490
33,198238
34,218822
35,244933
36,275597
37,305036
38,337469
